Filenames,ox,oy,oz,ux,uy,uz,vx,vy,vz,nr,width,height
71662491_s245.jpg,457.65289306640625,229.28752899169922,325.02662658691406,-462.6254577636719,13.249419808387756,-8.914188861846924,9.190350532531738,0.9693894982337952,-326.85650634765625,245,1324,908
71662493_s253.jpg,465.19020080566406,244.92627716064453,326.91603088378906,-473.0931091308594,2.593068480491638,-5.0480475425720215,3.2198293805122375,-5.397549271583557,-331.74798583984375,253,1368,930
71662499_s269.jpg,460.61607360839844,261.39002990722656,323.76698303222656,-454.8038330078125,3.767833709716797,12.858331680297852,-8.017823934555054,-10.813719511032104,-321.1123352050781,269,2600,1784
71662501_s277.jpg,455.92420959472656,260.74888610839844,331.1723937988281,-455.19773864746094,9.569800972938538,1.9596413373947144,-0.6839367747306824,-3.4570568799972534,-319.5865936279297,277,1302,906
71662503_s285.jpg,450.24501037597656,270.69554138183594,324.5448303222656,-432.31761169433594,13.154312707483768,0.7726784646511078,7.97656774520874,-4.511476159095764,-323.1966094970703,285,1234,912
71662513_s317.jpg,439.3381805419922,297.1818542480469,307.2419891357422,-428.7497253417969,11.676041223108768,-9.709748029708862,8.982253551483154,5.672283411026001,-293.45521545410156,317,2460,1680
71662517_s325.jpg,424.2200469970703,310.51165771484375,319.7787780761719,-404.89678955078125,4.7747999131679535,0.9432933330535889,1.1761234402656555,7.225725412368774,-321.73265075683594,325,1174,912
71662523_s349.jpg,428.727783203125,336.4748992919922,304.25286865234375,-391.70265197753906,10.09618529677391,3.465840309858322,0.6538956165313721,7.658358454704285,-298.2349395751953,349,2276,1676
71662527_s357.jpg,426.3853302001953,340.67645263671875,300.7402648925781,-382.6575622558594,9.850676149129868,11.820746898651123,-1.7291285991668701,8.925541520118713,-306.28953552246094,357,2216,1712
71662531_s373.jpg,416.9676513671875,352.9221954345703,307.997314453125,-377.6295623779297,12.483450509607792,-9.000449419021606,6.488226652145386,9.142929434776306,-302.8763732910156,373,2136,1696
71662533_s381.jpg,407.48780822753906,365.31300354003906,300.1863098144531,-360.98040771484375,14.074559777975082,-7.7446393966674805,5.883657693862915,4.697448253631592,-287.3394775390625,381,2064,1640
71662539_s397.jpg,391.1023254394531,395.5591583251953,270.6924591064453,-316.7740173339844,6.061596006155014,-2.2426141500473022,1.091651737689972,-6.311935663223267,-241.60122680664062,397,1892,1392
71662541_s405.jpg,389.3015594482422,404.00108337402344,291.9568176269531,-322.0522155761719,7.8996583223342896,-2.479216992855072,1.857851803302765,-13.286789417266846,-243.3073959350586,405,1884,1368
71662553_s445.jpg,368.5500946044922,434.47315979003906,268.4799041748047,-263.7906494140625,13.967147469520569,11.731024265289307,-8.049646377563477,2.5137194395065308,-235.49484252929688,445,1312,1180
