,Filenames,ox,oy,oz,ux,uy,uz,vx,vy,vz,section_ID,depth
24,GLTa/641_2002_2568_NM01_s139.png,484.71232803798625,150.28589653610604,339.51250110503,-512.8574356176016,-5.117394899720551,-6.592462754500161,-1.560094856602177,-7.393958294375693,-354.5352852335059,139.0,144.05692250213866
25,GLTa/641_2002_2568_NM01_s144.png,498.4400101446121,139.22412386023663,347.20223944471553,-512.690643758855,-4.968608359571618,0.47857724444605765,-6.068093172844442,-7.771818887608248,-370.58731958585327,144.0,132.70180124398357
26,GLTa/641_2002_2568_NM01_s154.png,481.2740139155627,121.5102441656752,350.1086941821627,-519.4045464159021,-4.899077859855268,6.951907919775749,-10.999961717122574,-8.586326230883131,-407.42148775247614,154.0,115.09412390305178
27,GLTa/641_2002_2568_NM01_s159.png,481.5503286244002,115.13288409556534,347.12761161814507,-503.07503054404623,-4.664409659528687,10.60823190037064,-16.127452669659533,-8.413780371332876,-396.738680556612,159.0,108.7761247757698
28,GLTa/641_2002_2568_NM01_s164.png,471.4058439858359,105.77112547856511,342.23591833059606,-495.6801009413459,-5.001792259138952,-9.05254493808286,1.711730124259475,-7.873344119767893,-379.09525863944174,164.0,99.61468484596581
29,GLTa/641_2002_2568_NM01_s169.png,471.63525725351394,91.13619110987904,335.0148364024962,-482.07774977881104,-4.634452400861207,2.2507854184626126,-12.23804025125628,-7.9379605452568,-375.6913064816203,169.0,85.12781236674057
30,GLTa/641_2002_2568_NM01_s174.png,462.3765840030155,79.29960881127491,340.6027921941183,-471.283292754156,-4.598461255750365,-1.056354278765241,-8.632799908201946,-7.909328755740006,-375.99773129896636,174.0,73.2648379640806
31,GLTa/641_2002_2568_NM01_s179.png,478.9161785651406,76.63233873741784,330.22380582947545,-490.34614612406494,-4.381196702167941,18.276991054754774,-27.088298944162716,-7.999284516332594,-371.70901306280115,179.0,70.65297128847833
32,GLTa/641_2002_2568_NM01_s184.png,474.7862837475823,65.64636887197227,330.0020479811093,-489.07303476140737,-4.493925199090533,12.26663533804134,-23.047999621473195,-7.786431025872737,-363.36698450152346,184.0,59.71172082409895
33,GLTa/641_2002_2568_NM01_s189.png,477.90602281650706,49.15933258077935,330.26545022657155,-484.633175766855,-4.694583277613781,0.553931307817777,-10.274320005813593,-8.016947051847133,-380.4026563811937,189.0,43.18890769021695
34,GLTa/641_2002_2568_NM01_s199.png,467.0596584589608,31.118449021578403,332.5085448206356,-486.11550807428233,-5.036732616293833,-15.19395993667166,5.394894252352515,-7.739724225831189,-374.39359680360803,199.0,25.206664899103625
