Filenames,ox,oy,oz,ux,uy,uz,vx,vy,vz,width,height,nr,depths
641_2002_2568_NM01_s069.png,472.1099610906332,297.96420500793647,348.2826840646768,-491.5049935268545,0.714468051242136,4.2383410585908905,-7.1256099292871795,1.3219039350988737,-386.0678591773606,1024,670,69,306.0030503709116
641_2002_2568_NM01_s074.png,478.6660965670668,288.0866617858854,324.0754388935418,-489.7152217130443,0.7031726636653275,6.782404944263703,-6.888921066310104,1.2693340510931534,-370.69421162461543,1024,670,74,289.9941529065286
641_2002_2568_NM01_s079.png,481.79035762264823,278.11900403284164,327.8969135988633,-508.8816187883068,0.730376846959075,7.141027039103221,-6.8142752291511215,1.3387703225764653,-391.1693784859452,1024,670,79,281.81604680954723
641_2002_2568_NM01_s084.png,486.50531986118494,268.1675226701067,326.2614584556847,-515.7976233227356,0.7051786642360867,17.57898565437398,-15.287293925227004,1.3371246707686169,-386.9857002274168,1024,670,84,266.3673155492696
641_2002_2568_NM01_s089.png,482.47295465219713,258.1951002469657,334.6101586014391,-501.9365478494276,0.7180557531049772,7.7363449213978015,-9.457549461096619,1.3192394320446112,-384.2653209933701,1024,670,89,251.19701943408577
641_2002_2568_NM01_s094.png,483.28488595286063,248.24537597826753,334.16140277196826,-504.6859073088321,0.7209838466027918,8.07461814352007,-8.779400256520887,1.2711201907511054,-370.3947118063026,1024,670,94,241.2851818799997
641_2002_2568_NM01_s099.png,477.16761518992126,238.24529505108788,351.5632182756736,-508.6036274954276,0.824167540216024,-20.59304819921175,14.618361920352754,1.2989288662914191,-388.7968944043848,1024,670,99,230.74977106714402
641_2002_2567_NM01_s104.png,473.91480396912175,228.35836305118195,334.40253260435196,-494.334073577008,0.6753441989698103,16.991838500322217,-13.986589152204715,1.2796863676438193,-370.643284775747,1024,670,104,225.06374601374682
641_2002_2568_NM01_s109.png,481.96885937420217,218.3762864751472,340.31675074531074,-514.7372525842181,0.7201721194758477,12.701854878731012,-13.73948365254887,1.3421198850478504,-389.1320795841408,1024,670,109,216.70113215175255
641_2002_2568_NM01_s114.png,489.53734103648867,208.43925932811064,333.1800609086698,-512.4087243780175,0.7068913435276443,15.595220007363991,-15.185472007001067,1.3423194535370442,-388.5595386047518,1024,670,114,211.7479093998025
641_2002_2568_NM01_s119.png,481.84967357682257,198.48475459780792,337.8495000374711,-517.4137786307531,0.7075551144912424,17.58492798987436,-16.43527890648477,1.35244879972916,-390.9960508392972,1024,670,119,200.2166623921658
641_2002_2568_NM01_s124.png,479.2854052439948,188.54825595874135,334.98101115071336,-496.5583671077145,0.6474783746043897,26.166845062078835,-23.670435216116744,1.3031727962190587,-373.33005795727877,1024,670,124,193.41421718285676
641_2002_2568_NM01_s129.png,488.16910699876485,178.566320085543,340.4915949230083,-512.2344701782245,0.7456964777429675,4.094610501205182,-5.658516838039247,1.3268047270878185,-388.1511999682694,1024,670,129,180.76915856957854
641_2002_2568_NM01_s134.png,483.5305377831322,168.6550632147603,331.0973404131218,-512.1878764787098,0.7133319472409596,13.60263755288804,-12.703689546979717,1.3115516569187946,-380.5847669909069,1024,670,134,173.28972462716803
641_2002_2568_NM01_s139.png,481.7268740109012,158.66465130418294,343.7692696257968,-512.4126168130085,0.776741902865183,-4.967627855125443,2.5217119540375847,1.2382868330245458,-365.66220242819696,1024,670,139,158.5688614238017
641_2002_2568_NM01_s144.png,491.264336846227,148.6779047367498,350.4107374595892,-513.6614831795632,0.7503359751334244,3.3517176282380206,-3.977260212509009,1.2930901383808475,-378.95937317585356,1024,670,144,156.54932649852432
641_2002_2568_NM01_s154.png,480.7459952248066,128.78590558543556,352.6211622037676,-528.9258187437147,0.7561022039938052,8.318261951264958,-10.134470790299702,1.4171371655815221,-412.7916408532506,1024,670,154,121.09987836701531
641_2002_2568_NM01_s159.png,497.9003272237866,118.8208635004086,349.5472576148481,-544.6524517281448,0.7569246281461943,14.942132275985955,-15.888186100933922,1.382043721511593,-399.94787758962576,1024,670,159,126.76191747339436
641_2002_2568_NM01_s164.png,483.183505267663,108.92949386985595,338.69805035946126,-532.1323141123933,0.7891298223242984,-0.005420491929726268,-3.823274167786394,1.3463590036140403,-394.7093687767418,1024,670,164,106.22948186502414
